GID	GO	EVIDENCE
ostta01g03020	GO:0009062	ISS
ostta01g04230	GO:0009062	ISS
ostta03g04620	GO:0009062	ISS
ostta05g00250	GO:0009062	ISS
ostta06g04450	GO:0009062	ISS
ostta09g03720	GO:0009062	ISS
ostta12g01000	GO:0009062	ISS
ostta12g02310	GO:0009062	ISS
ostta15g01350	GO:0009062	ISS
ostta16g00040	GO:0009062	ISS
ostta03g00880	GO:0006694	ISS
ostta03g03830	GO:0006694	ISS
ostta04g02080	GO:0006694	ISS
ostta04g04690	GO:0006694	ISS
ostta05g00930	GO:0006694	ISS
ostta05g04410	GO:0006694	ISS
ostta06g03200	GO:0006694	ISS
ostta08g03180	GO:0006694	ISS
ostta11g01340	GO:0006694	ISS
ostta17g02080	GO:0006694	ISS
ostta20g00840	GO:0006694	ISS
ostta01g01855	GO:0006744	ISS
ostta01g04250	GO:0006744	ISS
ostta01g04490	GO:0006744	ISS
ostta01g06140	GO:0006744	ISS
ostta01g06430	GO:0006744	ISS
ostta02g02710	GO:0006744	ISS
ostta02g04440	GO:0006744	ISS
ostta03g03750	GO:0006744	ISS
ostta04g03900	GO:0006744	ISS
ostta06g01340	GO:0006744	ISS
ostta07g04500	GO:0006744	ISS
ostta07g04670	GO:0006744	ISS
ostta10g00780	GO:0006744	ISS
ostta14g02200	GO:0006744	ISS
ostta14g02350	GO:0006744	ISS
ostta16g00380	GO:0006744	ISS
ostta17g02170	GO:0006744	ISS
ostta01g00830	GO:0006119	ISS
ostta01g02700	GO:0006119	ISS
ostta01g03140	GO:0006119	ISS
ostta01g03770	GO:0006119	ISS
ostta01g05540	GO:0006119	ISS
ostta02g00610	GO:0006119	ISS
ostta02g01600	GO:0006119	ISS
ostta02g02400	GO:0006119	ISS
ostta02g03620	GO:0006119	ISS
ostta02g05230	GO:0006119	ISS
ostta03g02560	GO:0006119	ISS
ostta03g02970	GO:0006119	ISS
ostta04g02580	GO:0006119	ISS
ostta04g02750	GO:0006119	ISS
ostta04g04940	GO:0006119	ISS
ostta04g05090	GO:0006119	ISS
ostta05g01970	GO:0006119	ISS
ostta05g03960	GO:0006119	ISS
ostta06g01380	GO:0006119	ISS
ostta06g03120	GO:0006119	ISS
ostta07g01350	GO:0006119	ISS
ostta07g01975	GO:0006119	ISS
ostta07g01990	GO:0006119	ISS
ostta07g02690	GO:0006119	ISS
ostta07g03230	GO:0006119	ISS
ostta07g03280	GO:0006119	ISS
ostta07g04140	GO:0006119	ISS
ostta08g00620	GO:0006119	ISS
ostta08g00630	GO:0006119	ISS
ostta08g02280	GO:0006119	ISS
ostta08g03980	GO:0006119	ISS
ostta08g04040	GO:0006119	ISS
ostta09g00580	GO:0006119	ISS
ostta09g00920	GO:0006119	ISS
ostta09g01080	GO:0006119	ISS
ostta09g01530	GO:0006119	ISS
ostta09g02410	GO:0006119	ISS
ostta09g03690	GO:0006119	ISS
ostta10g00830	GO:0006119	ISS
ostta10g01870	GO:0006119	ISS
ostta10g02290	GO:0006119	ISS
ostta10g02920	GO:0006119	ISS
ostta10g03010	GO:0006119	ISS
ostta11g02740	GO:0006119	ISS
ostta12g00440	GO:0006119	ISS
ostta12g00490	GO:0006119	ISS
ostta13g01000	GO:0006119	ISS
ostta13g03020	GO:0006119	ISS
ostta14g00080	GO:0006119	ISS
ostta14g02010	GO:0006119	ISS
ostta14g02270	GO:0006119	ISS
ostta15g00320	GO:0006119	ISS
ostta15g00485	GO:0006119	ISS
ostta15g00650	GO:0006119	ISS
ostta15g02000	GO:0006119	ISS
ostta16g00290	GO:0006119	ISS
ostta16g01795	GO:0006119	ISS
ostta16g02610	GO:0006119	ISS
ostta17g00970	GO:0006119	ISS
ostta17g00990	GO:0006119	ISS
ostta17g01650	GO:0006119	ISS
ostta18g01380	GO:0006119	ISS
ostta20g00290	GO:0006119	ISS
ostta20g00420	GO:0006119	ISS
ostta01g00830	GO:0015979	ISS
ostta01g06610	GO:0015979	ISS
ostta02g00580	GO:0015979	ISS
ostta02g02320	GO:0015979	ISS
ostta02g03860	GO:0015979	ISS
ostta02g05340	GO:0015979	ISS
ostta04g01790	GO:0015979	ISS
ostta05g00800	GO:0015979	ISS
ostta05g04560	GO:0015979	ISS
ostta06g00250	GO:0015979	ISS
ostta06g01350	GO:0015979	ISS
ostta06g03220	GO:0015979	ISS
ostta06g04600	GO:0015979	ISS
ostta07g00640	GO:0015979	ISS
ostta07g01350	GO:0015979	ISS
ostta07g02340	GO:0015979	ISS
ostta07g02400	GO:0015979	ISS
ostta07g02410	GO:0015979	ISS
ostta07g02420	GO:0015979	ISS
ostta08g03340	GO:0015979	ISS
ostta09g01080	GO:0015979	ISS
ostta09g04240	GO:0015979	ISS
ostta12g00420	GO:0015979	ISS
ostta12g00520	GO:0015979	ISS
ostta14g00150	GO:0015979	ISS
ostta14g02630	GO:0015979	ISS
ostta15g00990	GO:0015979	ISS
ostta15g02670	GO:0015979	ISS
ostta16g00650	GO:0015979	ISS
ostta16g01620	GO:0015979	ISS
ostta17g00310	GO:0015979	ISS
ostta17g00570	GO:0015979	ISS
ostta17g01035	GO:0015979	ISS
ostta18g01250	GO:0015979	ISS
ostta01g04940	GO:0015979	ISS
ostta02g03330	GO:0015979	ISS
ostta02g04800	GO:0015979	ISS
ostta05g03830	GO:0015979	ISS
ostta09g04420	GO:0015979	ISS
ostta11g00990	GO:0015979	ISS
ostta14g00065	GO:0015979	ISS
ostta16g02310	GO:0015979	ISS
ostta18g01230	GO:0015979	ISS
ostta01g01590	GO:0006526	ISS
ostta01g05020	GO:0006526	ISS
ostta02g03830	GO:0006526	ISS
ostta03g02830	GO:0006526	ISS
ostta04g02630	GO:0006526	ISS
ostta05g01300	GO:0006526	ISS
ostta08g02690	GO:0006526	ISS
ostta08g03040	GO:0006526	ISS
ostta12g02970	GO:0006526	ISS
ostta14g01750	GO:0006526	ISS
ostta14g02470	GO:0006526	ISS
ostta14g03050	GO:0006526	ISS
ostta15g01700	GO:0006526	ISS
ostta16g02560	GO:0006526	ISS
ostta17g00030	GO:0006526	ISS
ostta01g00090	GO:0006164	ISS
ostta01g03460	GO:0006164	ISS
ostta01g06270	GO:0006164	ISS
ostta01g06390	GO:0006164	ISS
ostta02g00810	GO:0006164	ISS
ostta02g00940	GO:0006164	ISS
ostta02g04470	GO:0006164	ISS
ostta02g04610	GO:0006164	ISS
ostta03g01300	GO:0006164	ISS
ostta03g01560	GO:0006164	ISS
ostta03g03150	GO:0006164	ISS
ostta03g04770	GO:0006164	ISS
ostta03g05480	GO:0006164	ISS
ostta04g01140	GO:0006164	ISS
ostta04g03520	GO:0006164	ISS
ostta05g00550	GO:0006164	ISS
ostta05g04980	GO:0006164	ISS
ostta06g00520	GO:0006164	ISS
ostta06g01180	GO:0006164	ISS
ostta06g02970	GO:0006164	ISS
ostta06g03820	GO:0006164	ISS
ostta07g00250	GO:0006164	ISS
ostta07g03730	GO:0006164	ISS
ostta08g00060	GO:0006164	ISS
ostta08g00560	GO:0006164	ISS
ostta09g00792	GO:0006164	ISS
ostta09g01710	GO:0006164	ISS
ostta09g02070	GO:0006164	ISS
ostta09g02100	GO:0006164	ISS
ostta09g02360	GO:0006164	ISS
ostta09g03020	GO:0006164	ISS
ostta10g00290	GO:0006164	ISS
ostta10g00760	GO:0006164	ISS
ostta10g03390	GO:0006164	ISS
ostta11g00870	GO:0006164	ISS
ostta11g02505	GO:0006164	ISS
ostta11g03110	GO:0006164	ISS
ostta12g00480	GO:0006164	ISS
ostta12g01230	GO:0006164	ISS
ostta12g01290	GO:0006164	ISS
ostta12g01995	GO:0006164	ISS
ostta14g00500	GO:0006164	ISS
ostta15g00150	GO:0006164	ISS
ostta15g01700	GO:0006164	ISS
ostta15g02520	GO:0006164	ISS
ostta16g01370	GO:0006164	ISS
ostta18g01410	GO:0006164	ISS
ostta01g00090	GO:0006220	ISS
ostta01g03600	GO:0006220	ISS
ostta01g04510	GO:0006220	ISS
ostta01g05040	GO:0006220	ISS
ostta01g05920	GO:0006220	ISS
ostta02g01850	GO:0006220	ISS
ostta03g01160	GO:0006220	ISS
ostta04g01140	GO:0006220	ISS
ostta05g00400	GO:0006220	ISS
ostta07g01340	GO:0006220	ISS
ostta07g03490	GO:0006220	ISS
ostta08g00560	GO:0006220	ISS
ostta08g02510	GO:0006220	ISS
ostta10g03250	GO:0006220	ISS
ostta11g02505	GO:0006220	ISS
ostta11g03110	GO:0006220	ISS
ostta12g00240	GO:0006220	ISS
ostta12g00480	GO:0006220	ISS
ostta12g01230	GO:0006220	ISS
ostta15g00060	GO:0006220	ISS
ostta15g00150	GO:0006220	ISS
ostta15g02350	GO:0006220	ISS
ostta16g01780	GO:0006220	ISS
ostta17g00410	GO:0006220	ISS
ostta17g01160	GO:0006220	ISS
ostta17g02305	GO:0006220	ISS
ostta17g02320	GO:0006220	ISS
ostta18g01410	GO:0006220	ISS
ostta01g05020	GO:0009067	ISS
ostta02g03460	GO:0009067	ISS
ostta03g01320	GO:0009067	ISS
ostta03g02830	GO:0009067	ISS
ostta03g05910	GO:0009067	ISS
ostta05g01300	GO:0009067	ISS
ostta05g01710	GO:0009067	ISS
ostta05g04070	GO:0009067	ISS
ostta06g00520	GO:0009067	ISS
ostta08g00860	GO:0009067	ISS
ostta08g02510	GO:0009067	ISS
ostta10g02200	GO:0009067	ISS
ostta12g02970	GO:0009067	ISS
ostta15g00060	GO:0009067	ISS
ostta16g02560	GO:0009067	ISS
ostta17g01160	GO:0009067	ISS
ostta18g01090	GO:0009067	ISS
ostta01g01450	GO:0009069	ISS
ostta01g02480	GO:0009069	ISS
ostta02g03710	GO:0009069	ISS
ostta03g00730	GO:0009069	ISS
ostta03g00920	GO:0009069	ISS
ostta03g03260	GO:0009069	ISS
ostta04g00300	GO:0009069	ISS
ostta04g01500	GO:0009069	ISS
ostta04g04830	GO:0009069	ISS
ostta05g01360	GO:0009069	ISS
ostta05g02740	GO:0009069	ISS
ostta05g05000	GO:0009069	ISS
ostta06g01870	GO:0009069	ISS
ostta07g02810	GO:0009069	ISS
ostta07g03890	GO:0009069	ISS
ostta08g01650	GO:0009069	ISS
ostta08g02470	GO:0009069	ISS
ostta08g02630	GO:0009069	ISS
ostta09g03600	GO:0009069	ISS
ostta10g02190	GO:0009069	ISS
ostta10g02780	GO:0009069	ISS
ostta10g03200	GO:0009069	ISS
ostta11g00550	GO:0009069	ISS
ostta11g02820	GO:0009069	ISS
ostta12g01530	GO:0009069	ISS
ostta14g02420	GO:0009069	ISS
ostta15g02900	GO:0009069	ISS
ostta18g01090	GO:0009069	ISS
ostta19g00170	GO:0009069	ISS
ostta01g01450	GO:0006790	ISS
ostta01g02480	GO:0006790	ISS
ostta01g04490	GO:0006790	ISS
ostta02g01190	GO:0006790	ISS
ostta02g03710	GO:0006790	ISS
ostta03g00180	GO:0006790	ISS
ostta03g03260	GO:0006790	ISS
ostta03g04670	GO:0006790	ISS
ostta04g04750	GO:0006790	ISS
