pathway.id	pathway.description	genes	GO
path:ota00230	Purine metabolism	ostta01g00090,ostta01g03460,ostta01g06270,ostta01g06390,ostta02g00810,ostta02g00940,ostta02g04470,ostta02g04610,ostta03g01300,ostta03g01560,ostta03g03150,ostta03g04770,ostta03g05480,ostta04g01140,ostta04g03520,ostta05g00550,ostta05g04980,ostta06g00520,ostta06g01180,ostta06g02970,ostta06g03820,ostta07g00250,ostta07g03730,ostta08g00060,ostta08g00560,ostta09g00792,ostta09g01710,ostta09g02070,ostta09g02100,ostta09g02360,ostta09g03020,ostta10g00290,ostta10g00760,ostta10g03390,ostta11g00870,ostta11g02505,ostta11g03110,ostta12g00480,ostta12g01230,ostta12g01290,ostta12g01995,ostta14g00500,ostta15g00150,ostta15g01700,ostta15g02520,ostta16g01370,ostta18g01410	GO:0006164
path:ota00240	Pyrimidine metabolism	ostta01g00090,ostta01g03600,ostta01g04510,ostta01g05040,ostta01g05920,ostta02g01850,ostta03g01160,ostta04g01140,ostta05g00400,ostta07g01340,ostta07g03490,ostta08g00560,ostta08g02510,ostta10g03250,ostta11g02505,ostta11g03110,ostta12g00240,ostta12g00480,ostta12g01230,ostta15g00060,ostta15g00150,ostta15g02350,ostta16g01780,ostta17g00410,ostta17g01160,ostta17g02305,ostta17g02320,ostta18g01410	GO:0006220
path:ota00250	Alanine, aspartate and glutamate metabolism	ostta01g05020,ostta02g03460,ostta03g01320,ostta03g02830,ostta03g05910,ostta05g01300,ostta05g01710,ostta05g04070,ostta06g00520,ostta08g00860,ostta08g02510,ostta10g02200,ostta12g02970,ostta15g00060,ostta16g02560,ostta17g01160,ostta18g01090	GO:0009067
path:ota00260	Glycine, serine and threonine metabolism	ostta01g01450,ostta01g02480,ostta02g03710,ostta03g00730,ostta03g00920,ostta03g03260,ostta04g00300,ostta04g01500,ostta04g04830,ostta05g01360,ostta05g02740,ostta05g05000,ostta06g01870,ostta07g02810,ostta07g03890,ostta08g01650,ostta08g02470,ostta08g02630,ostta09g03600,ostta10g02190,ostta10g02780,ostta10g03200,ostta11g00550,ostta11g02820,ostta12g01530,ostta14g02420,ostta15g02900,ostta18g01090,ostta19g00170	GO:0009069
path:ota00261	Monobactam biosynthesis	ostta01g01450,ostta01g02480,ostta05g01350,ostta09g03600,ostta10g00290,ostta16g00560	NA
path:ota00270	Cysteine and methionine metabolism	ostta01g01450,ostta01g02480,ostta01g04490,ostta02g01190,ostta02g03710,ostta03g00180,ostta03g03260,ostta03g04670,ostta04g04750,ostta05g01300,ostta05g01360,ostta05g05000,ostta06g00150,ostta06g01430,ostta06g02270,ostta06g04570,ostta07g02250,ostta07g04640,ostta08g00050,ostta08g02240,ostta08g02660,ostta09g00970,ostta09g02590,ostta09g02610,ostta09g03600,ostta10g02660,ostta11g01100,ostta11g02320,ostta12g03060,ostta13g00860,ostta15g00090,ostta15g00830,ostta15g00955,ostta17g01780	GO:0006790
path:ota00280	Valine, leucine and isoleucine degradation	ostta01g00320,ostta01g04230,ostta04g04750,ostta04g04830,ostta06g04450,ostta08g02240,ostta09g03720,ostta10g01690,ostta10g02200,ostta11g02820	GO:0009083
path:ota00290	Valine, leucine and isoleucine biosynthesis	ostta01g05260,ostta02g03710,ostta03g02470,ostta03g02820,ostta03g03860,ostta04g04750,ostta05g02740,ostta08g02240,ostta11g00540,ostta12g01530,ostta14g00820,ostta14g02970,ostta16g02080	GO:0009082
path:ota00300	Lysine biosynthesis	ostta01g01450,ostta01g02480,ostta02g03980,ostta03g00830,ostta05g01350,ostta05g05000,ostta09g03600,ostta16g00560,ostta18g01010	GO:0009085
path:ota00310	Lysine degradation	ostta01g04230,ostta01g06090,ostta02g02070,ostta02g04820,ostta04g04830,ostta06g04340,ostta09g03720,ostta11g01290,ostta11g02820,ostta13g00340,ostta18g00210	GO:0006554
