pathway.id	pathway.description	genes	GO
path:ota01100	Metabolic pathways	ostta01g00040,ostta01g00090,ostta01g00130,ostta01g00250,ostta01g00320,ostta01g00390,ostta01g00590,ostta01g00830,ostta01g01230,ostta01g01450,ostta01g01460,ostta01g01500,ostta01g01510,ostta01g01560,ostta01g01590,ostta01g01650,ostta01g01855,ostta01g01980,ostta01g02220,ostta01g02390,ostta01g02440,ostta01g02480,ostta01g02630,ostta01g02650,ostta01g02700,ostta01g02845,ostta01g02847,ostta01g02870,ostta01g03030,ostta01g03040,ostta01g03060,ostta01g03120,ostta01g03140,ostta01g03280,ostta01g03330,ostta01g03460,ostta01g03600,ostta01g03640,ostta01g03770,ostta01g04150,ostta01g04230,ostta01g04250,ostta01g04340,ostta01g04370,ostta01g04490,ostta01g04510,ostta01g04910,ostta01g04940,ostta01g05020,ostta01g05040,ostta01g05080,ostta01g05260,ostta01g05290,ostta01g05540,ostta01g05560,ostta01g05690,ostta01g05700,ostta01g05830,ostta01g05850,ostta01g05890,ostta01g05920,ostta01g05930,ostta01g05990,ostta01g06090,ostta01g06140,ostta01g06270,ostta01g06390,ostta01g06430,ostta01g06610,ostta01g06660,ostta02g00040,ostta02g00130,ostta02g00200,ostta02g00320,ostta02g00340,ostta02g00580,ostta02g00610,ostta02g00810,ostta02g00840,ostta02g00860,ostta02g00900,ostta02g00940,ostta02g00950,ostta02g01190,ostta02g01240,ostta02g01600,ostta02g01690,ostta02g01730,ostta02g01840,ostta02g01850,ostta02g01930,ostta02g01980,ostta02g02000,ostta02g02070,ostta02g02240,ostta02g02320,ostta02g02370,ostta02g02380,ostta02g02400,ostta02g02500,ostta02g02510,ostta02g02520,ostta02g02710,ostta02g02840,ostta02g02860,ostta02g03070,ostta02g03120,ostta02g03200,ostta02g03330,ostta02g03360,ostta02g03460,ostta02g03550,ostta02g03620,ostta02g03640,ostta02g03710,ostta02g03830,ostta02g03860,ostta02g03980,ostta02g04240,ostta02g04360,ostta02g04440,ostta02g04460,ostta02g04470,ostta02g04540,ostta02g04570,ostta02g04610,ostta02g04790,ostta02g04800,ostta02g04820,ostta02g05060,ostta02g05140,ostta02g05230,ostta02g05340,ostta02g05350,ostta02g05520,ostta03g00180,ostta03g00220,ostta03g00350,ostta03g00610,ostta03g00660,ostta03g00700,ostta03g00730,ostta03g00820,ostta03g00830,ostta03g00870,ostta03g00880,ostta03g00920,ostta03g01030,ostta03g01040,ostta03g01160,ostta03g01300,ostta03g01320,ostta03g01370,ostta03g01410,ostta03g01560,ostta03g01890,ostta03g02250,ostta03g02300,ostta03g02390,ostta03g02470,ostta03g02560,ostta03g02570,ostta03g02820,ostta03g02830,ostta03g02970,ostta03g03050,ostta03g03070,ostta03g03150,ostta03g03160,ostta03g03180,ostta03g03260,ostta03g03750,ostta03g03830,ostta03g03860,ostta03g03950,ostta03g04010,ostta03g04150,ostta03g04210,ostta03g04620,ostta03g04670,ostta03g04770,ostta03g04890,ostta03g05440,ostta03g05480,ostta03g05500,ostta03g05910,ostta03g05920,ostta04g00125,ostta04g00300,ostta04g00380,ostta04g00640,ostta04g00860,ostta04g01000,ostta04g01030,ostta04g01100,ostta04g01140,ostta04g01180,ostta04g01480,ostta04g01500,ostta04g01600,ostta04g01745,ostta04g01790,ostta04g01980,ostta04g02080,ostta04g02090,ostta04g02150,ostta04g02240,ostta04g02580,ostta04g02630,ostta04g02650,ostta04g02660,ostta04g02740,ostta04g02750,ostta04g02910,ostta04g03030,ostta04g03170,ostta04g03270,ostta04g03320,ostta04g03470,ostta04g03510,ostta04g03520,ostta04g03550,ostta04g03700,ostta04g03900,ostta04g03940,ostta04g03960,ostta04g04390,ostta04g04420,ostta04g04690,ostta04g04750,ostta04g04830,ostta04g04940,ostta04g05090,ostta05g00090,ostta05g00220,ostta05g00250,ostta05g00400,ostta05g00530,ostta05g00550,ostta05g00800,ostta05g00840,ostta05g00930,ostta05g01030,ostta05g01070,ostta05g01230,ostta05g01300,ostta05g01350,ostta05g01360,ostta05g01710,ostta05g01760,ostta05g01820,ostta05g01870,ostta05g01970,ostta05g02235,ostta05g02530,ostta05g02610,ostta05g02740,ostta05g02820,ostta05g02845,ostta05g02900,ostta05g02990,ostta05g03400,ostta05g03530,ostta05g03730,ostta05g03830,ostta05g03960,ostta05g04070,ostta05g04130,ostta05g04330,ostta05g04410,ostta05g04420,ostta05g04560,ostta05g04590,ostta05g04620,ostta05g04730,ostta05g04960,ostta05g04980,ostta05g05000,ostta06g00040,ostta06g00150,ostta06g00250,ostta06g00480,ostta06g00520,ostta06g00700,ostta06g00765,ostta06g01120,ostta06g01180,ostta06g01340,ostta06g01350,ostta06g01380,ostta06g01430,ostta06g01650,ostta06g01710,ostta06g01760,ostta06g01870,ostta06g01990,ostta06g02110,ostta06g02270,ostta06g02320,ostta06g02650,ostta06g02770,ostta06g02900,ostta06g02940,ostta06g02970,ostta06g03120,ostta06g03160,ostta06g03200,ostta06g03220,ostta06g03270,ostta06g03370,ostta06g03510,ostta06g03750,ostta06g03820,ostta06g04200,ostta06g04340,ostta06g04450,ostta06g04480,ostta06g04570,ostta06g04600,ostta07g00015,ostta07g00060,ostta07g00250,ostta07g00385,ostta07g00430,ostta07g00630,ostta07g00640,ostta07g00680,ostta07g00880,ostta07g01040,ostta07g01110,ostta07g01230,ostta07g01340,ostta07g01350,ostta07g01550,ostta07g01740,ostta07g01950,ostta07g01975,ostta07g01990,ostta07g02250,ostta07g02340,ostta07g02360,ostta07g02400,ostta07g02410,ostta07g02420,ostta07g02450,ostta07g02510,ostta07g02580,ostta07g02590,ostta07g02690,ostta07g02810,ostta07g03070,ostta07g03110,ostta07g03230,ostta07g03280,ostta07g03340,ostta07g03400,ostta07g03440,ostta07g03490,ostta07g03570,ostta07g03640,ostta07g03730,ostta07g03880,ostta07g03890,ostta07g04100,ostta07g04120,ostta07g04140,ostta07g04170,ostta07g04260,ostta07g04370,ostta07g04500,ostta07g04510,ostta07g04570,ostta07g04600,ostta07g04640,ostta07g04670,ostta08g00050,ostta08g00060,ostta08g00070,ostta08g00190,ostta08g00560,ostta08g00620,ostta08g00630,ostta08g00860,ostta08g00930,ostta08g00980,ostta08g01100,ostta08g01180,ostta08g01290,ostta08g01570,ostta08g01610,ostta08g01650,ostta08g01780,ostta08g01895,ostta08g02240,ostta08g02280,ostta08g02360,ostta08g02470,ostta08g02480,ostta08g02510,ostta08g02630,ostta08g02660,ostta08g02690,ostta08g02720,ostta08g02820,ostta08g02920,ostta08g03040,ostta08g03180,ostta08g03340,ostta08g03480,ostta08g03980,ostta08g04040,ostta09g00100,ostta09g00120,ostta09g00160,ostta09g00280,ostta09g00420,ostta09g00500,ostta09g00580,ostta09g00792,ostta09g00920,ostta09g00960,ostta09g00970,ostta09g01080,ostta09g01360,ostta09g01450,ostta09g01530,ostta09g01710,ostta09g01790,ostta09g01870,ostta09g01930,ostta09g02070,ostta09g02100,ostta09g02160,ostta09g02360,ostta09g02380,ostta09g02400,ostta09g02410,ostta09g02530,ostta09g02540,ostta09g02590,ostta09g02610,ostta09g02630,ostta09g02690,ostta09g03000,ostta09g03020,ostta09g03060,ostta09g03210,ostta09g03480,ostta09g03600,ostta09g03630,ostta09g03690,ostta09g03720,ostta09g03765,ostta09g03990,ostta09g04240,ostta09g04420,ostta10g00030,ostta10g00260,ostta10g00290,ostta10g00350,ostta10g00520,ostta10g00580,ostta10g00690,ostta10g00760,ostta10g00770,ostta10g00780,ostta10g00830,ostta10g00920,ostta10g00930,ostta10g01260,ostta10g01350,ostta10g01370,ostta10g01470,ostta10g01690,ostta10g01870,ostta10g01980,ostta10g02030,ostta10g02190,ostta10g02200,ostta10g02290,ostta10g02460,ostta10g02490,ostta10g02570,ostta10g02660,ostta10g02780,ostta10g02860,ostta10g02920,ostta10g03010,ostta10g03130,ostta10g03200,ostta10g03250,ostta10g03340,ostta10g03390,ostta10g03420,ostta10g03430,ostta10g03450,ostta10g03470,ostta11g00050,ostta11g00080,ostta11g00260,ostta11g00540,ostta11g00550,ostta11g00690,ostta11g00870,ostta11g00960,ostta11g00990,ostta11g01100,ostta11g01160,ostta11g01280,ostta11g01290,ostta11g01340,ostta11g01370,ostta11g01410,ostta11g01930,ostta11g02110,ostta11g02320,ostta11g02505,ostta11g02670,ostta11g02740,ostta11g02780,ostta11g02820,ostta11g03090,ostta11g03110,ostta11g03190,ostta12g00140,ostta12g00150,ostta12g00240,ostta12g00290,ostta12g00320,ostta12g00420,ostta12g00440,ostta12g00480,ostta12g00490,ostta12g00520,ostta12g00900,ostta12g00940,ostta12g01000,ostta12g01030,ostta12g01230,ostta12g01280,ostta12g01290,ostta12g01390,ostta12g01530,ostta12g01630,ostta12g01880,ostta12g01995,ostta12g02310,ostta12g02400,ostta12g02410,ostta12g02430,ostta12g02460,ostta12g02580,ostta12g02610,ostta12g02650,ostta12g02960,ostta12g02970,ostta12g03060,ostta13g00100,ostta13g00190,ostta13g00320,ostta13g00340,ostta13g00580,ostta13g00860,ostta13g01000,ostta13g01040,ostta13g01180,ostta13g01200,ostta13g01490,ostta13g01570,ostta13g01690,ostta13g02030,ostta13g02190,ostta13g02440,ostta13g02500,ostta13g02530,ostta13g03020,ostta13g03060,ostta14g00065,ostta14g00080,ostta14g00150,ostta14g00170,ostta14g00250,ostta14g00270,ostta14g00340,ostta14g00360,ostta14g00500,ostta14g00540,ostta14g00820,ostta14g01010,ostta14g01075,ostta14g01245,ostta14g01345,ostta14g01387,ostta14g01390,ostta14g01750,ostta14g01830,ostta14g01960,ostta14g02010,ostta14g02070,ostta14g02180,ostta14g02200,ostta14g02270,ostta14g02350,ostta14g02410,ostta14g02420,ostta14g02470,ostta14g02510,ostta14g02630,ostta14g02775,ostta14g02860,ostta14g02890,ostta14g02970,ostta14g03050,ostta15g00060,ostta15g00090,ostta15g00120,ostta15g00150,ostta15g00180,ostta15g00320,ostta15g00380,ostta15g00485,ostta15g00530,ostta15g00650,ostta15g00830,ostta15g00890,ostta15g00955,ostta15g00990,ostta15g01020,ostta15g01110,ostta15g01270,ostta15g01340,ostta15g01350,ostta15g01470,ostta15g01700,ostta15g01890,ostta15g02000,ostta15g02070,ostta15g02235,ostta15g02350,ostta15g02460,ostta15g02520,ostta15g02560,ostta15g02670,ostta15g02680,ostta15g02810,ostta15g02900,ostta16g00040,ostta16g00380,ostta16g00440,ostta16g00470,ostta16g00480,ostta16g00520,ostta16g00550,ostta16g00560,ostta16g00590,ostta16g00650,ostta16g00660,ostta16g00670,ostta16g00710,ostta16g00910,ostta16g01040,ostta16g01100,ostta16g01150,ostta16g01250,ostta16g01270,ostta16g01370,ostta16g01390,ostta16g01500,ostta16g01540,ostta16g01550,ostta16g01560,ostta16g01620,ostta16g01690,ostta16g01780,ostta16g01795,ostta16g01910,ostta16g02020,ostta16g02080,ostta16g02310,ostta16g02480,ostta16g02560,ostta16g02610,ostta17g00030,ostta17g00130,ostta17g00200,ostta17g00300,ostta17g00310,ostta17g00410,ostta17g00570,ostta17g00650,ostta17g00970,ostta17g00990,ostta17g01000,ostta17g01010,ostta17g01035,ostta17g01080,ostta17g01150,ostta17g01160,ostta17g01280,ostta17g01290,ostta17g01420,ostta17g01450,ostta17g01650,ostta17g01780,ostta17g01800,ostta17g02010,ostta17g02080,ostta17g02090,ostta17g02170,ostta17g02305,ostta17g02320,ostta17g02340,ostta17g02360,ostta18g00210,ostta18g00400,ostta18g00560,ostta18g00810,ostta18g00940,ostta18g01010,ostta18g01060,ostta18g01090,ostta18g01140,ostta18g01230,ostta18g01250,ostta18g01380,ostta18g01410,ostta18g01610,ostta18g01860,ostta18g01880,ostta18g01890,ostta19g00110,ostta19g00120,ostta19g00170,ostta19g00320,ostta19g00410,ostta20g00030,ostta20g00080,ostta20g00100,ostta20g00290,ostta20g00320,ostta20g00420,ostta20g00490,ostta20g00830,ostta20g00840	GO:0008152
path:ota01110	Biosynthesis of secondary metabolites	ostta01g00320,ostta01g00590,ostta01g01230,ostta01g01450,ostta01g01500,ostta01g01510,ostta01g01590,ostta01g01855,ostta01g01980,ostta01g02220,ostta01g02390,ostta01g02440,ostta01g02480,ostta01g02650,ostta01g02870,ostta01g03040,ostta01g03280,ostta01g03810,ostta01g04150,ostta01g04230,ostta01g04250,ostta01g04340,ostta01g04490,ostta01g05260,ostta01g05290,ostta01g05560,ostta01g05690,ostta01g05700,ostta01g05850,ostta01g05990,ostta01g06140,ostta01g06390,ostta01g06430,ostta02g00200,ostta02g00810,ostta02g00840,ostta02g00940,ostta02g01690,ostta02g01730,ostta02g01980,ostta02g02370,ostta02g02380,ostta02g02500,ostta02g02510,ostta02g02520,ostta02g02710,ostta02g02860,ostta02g03070,ostta02g03360,ostta02g03460,ostta02g03570,ostta02g03640,ostta02g03660,ostta02g03710,ostta02g03830,ostta02g03980,ostta02g04360,ostta02g04440,ostta02g04470,ostta02g04540,ostta02g04570,ostta02g04820,ostta02g05060,ostta03g00180,ostta03g00350,ostta03g00660,ostta03g00730,ostta03g00830,ostta03g00870,ostta03g00880,ostta03g00920,ostta03g01030,ostta03g01320,ostta03g01410,ostta03g01580,ostta03g02130,ostta03g02250,ostta03g02390,ostta03g02470,ostta03g02570,ostta03g02820,ostta03g03070,ostta03g03160,ostta03g03180,ostta03g03260,ostta03g03830,ostta03g03860,ostta03g04210,ostta03g04620,ostta03g04670,ostta03g05480,ostta03g05920,ostta04g00300,ostta04g00380,ostta04g00860,ostta04g01030,ostta04g01100,ostta04g01140,ostta04g01500,ostta04g01980,ostta04g02080,ostta04g02090,ostta04g02240,ostta04g02630,ostta04g02660,ostta04g02910,ostta04g03170,ostta04g03270,ostta04g03470,ostta04g03520,ostta04g03900,ostta04g03930,ostta04g03940,ostta04g03960,ostta04g04390,ostta04g04420,ostta04g04690,ostta04g04750,ostta04g04830,ostta04g04940,ostta05g00220,ostta05g00530,ostta05g00550,ostta05g00930,ostta05g01030,ostta05g01070,ostta05g01230,ostta05g01300,ostta05g01350,ostta05g01360,ostta05g01710,ostta05g01760,ostta05g01820,ostta05g02610,ostta05g02740,ostta05g02900,ostta05g03530,ostta05g03730,ostta05g04130,ostta05g04330,ostta05g04410,ostta05g04420,ostta05g04590,ostta05g04730,ostta05g04960,ostta05g05000,ostta06g00150,ostta06g00700,ostta06g01340,ostta06g01650,ostta06g01710,ostta06g01760,ostta06g01870,ostta06g02270,ostta06g02650,ostta06g02940,ostta06g02970,ostta06g03120,ostta06g03160,ostta06g03200,ostta06g03270,ostta06g03370,ostta06g03820,ostta06g04200,ostta06g04450,ostta06g04480,ostta06g04570,ostta07g00060,ostta07g00385,ostta07g00680,ostta07g00880,ostta07g01110,ostta07g01550,ostta07g01740,ostta07g01950,ostta07g02360,ostta07g02450,ostta07g02510,ostta07g02580,ostta07g02590,ostta07g02810,ostta07g03070,ostta07g03340,ostta07g03400,ostta07g03440,ostta07g03570,ostta07g03730,ostta07g03880,ostta07g03890,ostta07g04170,ostta07g04260,ostta07g04370,ostta07g04500,ostta07g04640,ostta07g04670,ostta08g00050,ostta08g00060,ostta08g01100,ostta08g01180,ostta08g01610,ostta08g01650,ostta08g01895,ostta08g02240,ostta08g02280,ostta08g02360,ostta08g02470,ostta08g02630,ostta08g02660,ostta08g02690,ostta08g02720,ostta08g02920,ostta08g03040,ostta08g03180,ostta09g00120,ostta09g00160,ostta09g00792,ostta09g00960,ostta09g00970,ostta09g01360,ostta09g02100,ostta09g02360,ostta09g02380,ostta09g02460,ostta09g02530,ostta09g02540,ostta09g02590,ostta09g02630,ostta09g03060,ostta09g03600,ostta09g03720,ostta09g03765,ostta09g03990,ostta10g00030,ostta10g00260,ostta10g00290,ostta10g00780,ostta10g01370,ostta10g01470,ostta10g01980,ostta10g02435,ostta10g02460,ostta10g02570,ostta10g02780,ostta10g02860,ostta10g03200,ostta10g03450,ostta11g00050,ostta11g00080,ostta11g00260,ostta11g00540,ostta11g00550,ostta11g00690,ostta11g00960,ostta11g01160,ostta11g01340,ostta11g02110,ostta11g02320,ostta11g02505,ostta11g02670,ostta11g02780,ostta11g02820,ostta11g03090,ostta11g03110,ostta12g00290,ostta12g00320,ostta12g00480,ostta12g01030,ostta12g01280,ostta12g01290,ostta12g01390,ostta12g01530,ostta12g02310,ostta12g02400,ostta12g02460,ostta12g02610,ostta12g02970,ostta12g03060,ostta13g00100,ostta13g01040,ostta13g01180,ostta13g01200,ostta13g01560,ostta13g02030,ostta13g02440,ostta13g02530,ostta13g03060,ostta14g00080,ostta14g00170,ostta14g00250,ostta14g00340,ostta14g00500,ostta14g00820,ostta14g01010,ostta14g01750,ostta14g01830,ostta14g02010,ostta14g02070,ostta14g02180,ostta14g02200,ostta14g02350,ostta14g02420,ostta14g02470,ostta14g02775,ostta14g02860,ostta14g02890,ostta14g02970,ostta14g03050,ostta15g00150,ostta15g00650,ostta15g00830,ostta15g00955,ostta15g01270,ostta15g01350,ostta15g02070,ostta15g02520,ostta15g02560,ostta15g02680,ostta15g02810,ostta15g02900,ostta16g00380,ostta16g00440,ostta16g00480,ostta16g00520,ostta16g00550,ostta16g00560,ostta16g00590,ostta16g00660,ostta16g00670,ostta16g00710,ostta16g01100,ostta16g01550,ostta16g01560,ostta16g01690,ostta16g01910,ostta16g02080,ostta16g02450,ostta16g02480,ostta16g02560,ostta17g00030,ostta17g00130,ostta17g01010,ostta17g01150,ostta17g01280,ostta17g01400,ostta17g01780,ostta17g02080,ostta17g02090,ostta17g02170,ostta18g00810,ostta18g01010,ostta18g01060,ostta18g01090,ostta18g01610,ostta18g01860,ostta18g01880,ostta18g01890,ostta19g00170,ostta20g00030,ostta20g00080,ostta20g00490,ostta20g00840	GO:0044550
path:ota01200	Carbon metabolism	ostta01g00040,ostta01g01500,ostta01g01560,ostta01g02650,ostta01g03040,ostta01g05560,ostta02g00840,ostta02g00940,ostta02g02370,ostta02g02860,ostta02g03710,ostta02g04360,ostta02g04820,ostta03g00180,ostta03g00350,ostta03g00660,ostta03g00730,ostta03g00920,ostta03g01030,ostta03g01410,ostta03g02250,ostta03g02570,ostta03g02830,ostta03g03260,ostta03g05500,ostta03g05920,ostta04g00380,ostta04g01030,ostta04g02740,ostta04g03550,ostta04g04390,ostta04g04420,ostta04g04830,ostta05g00220,ostta05g01300,ostta05g01360,ostta05g01760,ostta05g02740,ostta05g02900,ostta05g04130,ostta05g04590,ostta06g00150,ostta06g00700,ostta06g01650,ostta06g01760,ostta06g01870,ostta06g01990,ostta06g02270,ostta06g02650,ostta06g03120,ostta06g03750,ostta06g04570,ostta07g01040,ostta07g03890,ostta07g04260,ostta07g04370,ostta07g04640,ostta08g00050,ostta08g00930,ostta08g00980,ostta08g02280,ostta08g02360,ostta08g02470,ostta09g00120,ostta09g00160,ostta09g03765,ostta10g01370,ostta10g01470,ostta10g02780,ostta10g03200,ostta10g03420,ostta11g02320,ostta11g02780,ostta11g02820,ostta12g00290,ostta12g01530,ostta12g02310,ostta12g02650,ostta12g02960,ostta12g03060,ostta14g00080,ostta14g01010,ostta14g01830,ostta14g02420,ostta15g00650,ostta15g00830,ostta15g01340,ostta15g01350,ostta15g02560,ostta15g02900,ostta16g00480,ostta16g00520,ostta16g00550,ostta16g01690,ostta17g01010,ostta17g01280,ostta17g01780,ostta17g02090,ostta18g00940,ostta18g01090,ostta18g01880,ostta18g01890,ostta19g00170	GO:0015976
path:ota01210	2-Oxocarboxylic acid metabolism	ostta01g01450,ostta01g02480,ostta01g05260,ostta02g03830,ostta03g02470,ostta03g02820,ostta03g02830,ostta03g03860,ostta04g04750,ostta05g01300,ostta05g01760,ostta08g02240,ostta08g02690,ostta08g03040,ostta11g00540,ostta14g00820,ostta14g01750,ostta14g02470,ostta14g02970,ostta14g03050,ostta16g02080,ostta17g02090	GO:0006103
path:ota01212	Fatty acid metabolism	ostta01g00320,ostta01g02220,ostta01g02650,ostta01g03280,ostta02g00200,ostta02g01840,ostta02g04460,ostta03g01370,ostta03g04010,ostta03g04210,ostta03g04620,ostta04g03510,ostta05g00250,ostta05g03730,ostta06g04450,ostta07g03880,ostta09g02530,ostta09g03060,ostta09g03720,ostta10g01690,ostta12g01000,ostta12g02310,ostta13g01040,ostta13g02530,ostta15g01470,ostta15g01890,ostta16g00040,ostta17g00300,ostta17g00650,ostta17g02010,ostta20g00030	GO:0006631
path:ota01230	Biosynthesis of amino acids	ostta01g01230,ostta01g01450,ostta01g01500,ostta01g01590,ostta01g01980,ostta01g02480,ostta01g03040,ostta01g05020,ostta01g05260,ostta01g05700,ostta02g00940,ostta02g01690,ostta02g01980,ostta02g02860,ostta02g03640,ostta02g03710,ostta02g03830,ostta02g03980,ostta03g00660,ostta03g00730,ostta03g00830,ostta03g00920,ostta03g01320,ostta03g01410,ostta03g02470,ostta03g02820,ostta03g02830,ostta03g03260,ostta03g03860,ostta03g04670,ostta04g00300,ostta04g00380,ostta04g01100,ostta04g01500,ostta04g04420,ostta04g04750,ostta05g01300,ostta05g01350,ostta05g01360,ostta05g01710,ostta05g01760,ostta05g01820,ostta05g02610,ostta05g02740,ostta05g04130,ostta05g05000,ostta06g00700,ostta06g01650,ostta06g01710,ostta06g01760,ostta06g03270,ostta06g04200,ostta06g04570,ostta07g00060,ostta07g01110,ostta07g02810,ostta07g03890,ostta07g04370,ostta07g04640,ostta08g00980,ostta08g01650,ostta08g02240,ostta08g02470,ostta08g02630,ostta08g02690,ostta08g02920,ostta08g03040,ostta09g00120,ostta09g00970,ostta09g01360,ostta09g02590,ostta09g03600,ostta10g01470,ostta10g02460,ostta10g02570,ostta11g00080,ostta11g00540,ostta11g02320,ostta11g03090,ostta12g01530,ostta12g02610,ostta12g02970,ostta12g03060,ostta13g00100,ostta14g00820,ostta14g01750,ostta14g01830,ostta14g02070,ostta14g02420,ostta14g02470,ostta14g02775,ostta14g02970,ostta14g03050,ostta15g00830,ostta15g00955,ostta15g02810,ostta16g00480,ostta16g00550,ostta16g00560,ostta16g00710,ostta16g02080,ostta16g02560,ostta17g01280,ostta17g01780,ostta17g02090,ostta18g01010,ostta19g00170	GO:0008652
path:ota01232	Nucleotide metabolism	ostta01g00090,ostta01g03600,ostta01g04510,ostta01g05040,ostta01g05920,ostta01g06270,ostta02g00810,ostta02g01850,ostta02g04470,ostta03g05480,ostta04g01140,ostta04g03520,ostta05g00400,ostta05g00550,ostta06g00520,ostta06g01180,ostta07g00250,ostta07g01340,ostta07g03490,ostta07g03730,ostta08g00060,ostta08g00560,ostta09g02100,ostta09g02360,ostta10g03390,ostta11g00870,ostta11g02505,ostta11g03110,ostta12g00480,ostta12g01230,ostta12g01995,ostta15g00150,ostta15g02350,ostta16g01370,ostta16g01780,ostta17g00410,ostta17g02305,ostta17g02320,ostta18g01410	GO:0009117
path:ota01240	Biosynthesis of cofactors	ostta01g00390,ostta01g00590,ostta01g01510,ostta01g01855,ostta01g02220,ostta01g02390,ostta01g03120,ostta01g03600,ostta01g04150,ostta01g04230,ostta01g04250,ostta01g04340,ostta01g05040,ostta01g05850,ostta01g05890,ostta01g05920,ostta01g05930,ostta01g06140,ostta01g06430,ostta02g01190,ostta02g01840,ostta02g02520,ostta02g02710,ostta02g03550,ostta02g04240,ostta02g04440,ostta02g04460,ostta02g04540,ostta02g05140,ostta02g05520,ostta03g00220,ostta03g00920,ostta03g01160,ostta03g02300,ostta03g03160,ostta03g03260,ostta03g03750,ostta03g03950,ostta03g04010,ostta03g04150,ostta03g05480,ostta04g01600,ostta04g02660,ostta04g03030,ostta04g03520,ostta04g03900,ostta04g04750,ostta04g04830,ostta04g04940,ostta05g00090,ostta05g00550,ostta05g01070,ostta05g01230,ostta05g02990,ostta05g04730,ostta06g00040,ostta06g00520,ostta06g01340,ostta06g01430,ostta06g02900,ostta06g03370,ostta06g03510,ostta07g02510,ostta07g03400,ostta07g03730,ostta07g03880,ostta07g04500,ostta07g04670,ostta08g00060,ostta08g00860,ostta08g01610,ostta08g01895,ostta08g02240,ostta08g02510,ostta08g02720,ostta09g01790,ostta09g01930,ostta09g02360,ostta09g02630,ostta09g02690,ostta09g03630,ostta10g00580,ostta10g00770,ostta10g00780,ostta10g02030,ostta11g00690,ostta11g02505,ostta11g02670,ostta11g02820,ostta11g03110,ostta12g00240,ostta12g00900,ostta12g00940,ostta12g01030,ostta12g02460,ostta13g00190,ostta13g01490,ostta13g01570,ostta13g01690,ostta13g02190,ostta14g00340,ostta14g01075,ostta14g01245,ostta14g01610,ostta14g02010,ostta14g02200,ostta14g02350,ostta14g02420,ostta15g00060,ostta15g00120,ostta15g00150,ostta15g00890,ostta15g00955,ostta15g01470,ostta16g00380,ostta16g01150,ostta16g01270,ostta16g01550,ostta16g01780,ostta17g00130,ostta17g00200,ostta17g01160,ostta17g01800,ostta17g02170,ostta17g02360,ostta18g00900,ostta18g00940,ostta18g01060,ostta18g01860,ostta19g00170,ostta20g00080	NA
path:ota01250	Biosynthesis of nucleotide sugars	ostta01g01510,ostta02g00840,ostta02g02840,ostta02g04540,ostta02g05140,ostta03g03950,ostta04g01480,ostta05g04070,ostta05g04620,ostta07g01230,ostta07g03070,ostta07g03440,ostta07g04170,ostta08g01570,ostta09g00100,ostta09g01870,ostta10g03430,ostta11g01410,ostta11g02780,ostta11g03190,ostta12g01630,ostta13g01690,ostta13g02030,ostta14g00540,ostta15g00180,ostta15g02520,ostta16g01390,ostta18g01060,ostta19g00110,ostta19g00610,ostta20g00490,ostta20g00830	GO:0009226
path:ota02010	ABC transporters	ostta01g04600,ostta02g04070,ostta03g00040,ostta04g00610,ostta04g03540,ostta05g04370,ostta07g00120,ostta07g01580,ostta11g01110,ostta13g00830,ostta14g01680,ostta18g01310	GO:0043190
path:ota03008	Ribosome biogenesis in eukaryotes	ostta01g00910,ostta01g02450,ostta01g04120,ostta02g00410,ostta02g00562,ostta02g00640,ostta02g00960,ostta02g01210,ostta02g01330,ostta02g01350,ostta02g02490,ostta02g03490,ostta02g04030,ostta02g05390,ostta03g00690,ostta03g02850,ostta03g05480,ostta04g00770,ostta04g03790,ostta04g04010,ostta05g00690,ostta05g01450,ostta05g03410,ostta06g01480,ostta06g01610,ostta06g01830,ostta06g01930,ostta06g02130,ostta06g03380,ostta06g04000,ostta07g01200,ostta07g03480,ostta07g04040,ostta08g00480,ostta08g00800,ostta08g01400,ostta08g01820,ostta08g02180,ostta08g03090,ostta10g02930,ostta11g00530,ostta12g02110,ostta12g02550,ostta13g00670,ostta13g01170,ostta14g00140,ostta14g00290,ostta14g00620,ostta14g00750,ostta14g01110,ostta15g01300,ostta16g00100,ostta16g00990,ostta17g00250,ostta17g01820,ostta18g01680,ostta20g00730	GO:0042254
