gene_id	GO_ids
ostta04g05250	GO:0005840; GO:0016279; GO:0032259
ostta04g05310	
ostta04g05370	GO:0007165
ostta05g00540	GO:0016020
ostta04g05430	
ostta05g00590	
ostta04g05490	
ostta03g02600	GO:0006999; GO:0015031; GO:0030674; GO:0031965; GO:0051028; GO:0070762
ostta04g05600	GO:0004386; GO:0006281
ostta05g00700	
ostta05g00075	GO:0004842; GO:0016567
ostta05g00760	
ostta05g00130	
ostta05g00820	GO:0016020
ostta05g00200	
ostta05g00260	
ostta05g00340	GO:0005829; GO:0016491
ostta05g00410	GO:0003755; GO:0009579
ostta05g00470	GO:0005886; GO:0008519
ostta05g00910	GO:0016020; GO:0051879
ostta03g02850	GO:0000172; GO:0001682; GO:0005655
ostta05g00600	GO:0000724; GO:0003677; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0009378; GO:0016887; GO:0043138
ostta05g00970	GO:0003677; GO:0003886; GO:0005634; GO:0032259; GO:0044027
ostta03g02970	GO:0000221; GO:0016887; GO:0046961
ostta05g01090	GO:0016020
ostta05g00710	GO:0008270; GO:0016020
ostta03g03020	GO:0004622; GO:0016020; GO:0016042
ostta03g01860	GO:0005524; GO:0005741; GO:0016887
ostta05g00770	
ostta05g01250	GO:0003676
ostta03g03150	GO:0004114; GO:0007165; GO:0046872
ostta05g01380	GO:0003677; GO:0004519; GO:0005634; GO:0006284; GO:0019104; GO:0035514; GO:0046872; GO:0051539; GO:0141166
ostta03g02360	GO:0010265
ostta03g02440	GO:0005886; GO:0015360; GO:0071422
ostta04g02930	GO:0003729
ostta03g02540	GO:0003676; GO:0005543; GO:0006607; GO:0006999; GO:0017056; GO:0044613; GO:0044615; GO:0051028
ostta05g01690	GO:0005737; GO:0006511; GO:0016567; GO:0061630
ostta03g02620	GO:0006364; GO:0008168; GO:0032259
ostta03g02760	GO:0003688; GO:0005664; GO:0006270
ostta05g01880	
ostta05g00980	GO:0008168; GO:0032259
ostta05g01980	GO:0016020
ostta05g01050	GO:0016020
ostta05g02030	GO:0008610; GO:0016020; GO:0016717
ostta05g01100	GO:0016020
ostta05g01150	GO:0031151
ostta05g02100	GO:0016020; GO:1990234
ostta05g01210	GO:0000785; GO:0000793; GO:0000796; GO:0003682; GO:0007076; GO:0016020
ostta05g02150	
ostta03g03780	GO:0003677; GO:0005524; GO:0005634; GO:0007062; GO:0008278; GO:0016887; GO:0051301
ostta03g03030	GO:0005524; GO:0005829; GO:0005856; GO:0006020; GO:0032958; GO:0033857; GO:0052723; GO:0052843
ostta05g01340	
ostta05g02290	GO:0016020
ostta03g03160	GO:0004109; GO:0006782; GO:0009570
ostta03g04150	GO:0004514; GO:0005737; GO:0009435; GO:0034213
ostta03g04290	GO:0003735; GO:0005840; GO:0006412; GO:0010224; GO:1990904
ostta05g01500	
ostta05g02410	GO:0008757; GO:0032259
ostta05g01570	GO:0005096; GO:0031267
ostta05g02450	GO:0016020
ostta03g03350	GO:0005483; GO:0005774; GO:0006886; GO:0016192; GO:0019905; GO:0031201
ostta03g03670	GO:0005737; GO:0019005; GO:0031146
ostta05g01730	
ostta05g02560	GO:0016020
ostta05g01810	GO:0008428; GO:0008948; GO:0046872; GO:0047443; GO:0051252
ostta03g04690	GO:0005737; GO:0016301
ostta03g04790	GO:0000049; GO:0003743; GO:0003924; GO:0005525; GO:0005739; GO:0046872
ostta05g01990	GO:0016020
ostta05g02670	
ostta03g03900	GO:0010436; GO:0016121; GO:0046872
ostta05g02720	
ostta05g02110	
ostta05g02810	
ostta03g04060	GO:0003723; GO:0005730; GO:0008173; GO:0070475
ostta05g02850	
ostta03g04970	GO:0000049; GO:0002940; GO:0005634; GO:0016423
ostta03g05030	GO:0005794; GO:0006486; GO:0052325; GO:0052636
ostta03g04250	
ostta05g03020	GO:0004553; GO:0005975
ostta03g05140	GO:0005524; GO:0016887
ostta03g05190	GO:0004722; GO:0046872
ostta05g03070	GO:0051213
ostta05g02460	GO:0004674; GO:0005524
ostta05g03140	GO:0016020
ostta03g04380	GO:0005854
ostta05g03190	GO:0046872; GO:0051537
ostta05g02570	GO:0008168; GO:0032259
ostta05g03240	
ostta03g04510	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:0019843; GO:1990904
ostta03g05390	GO:0003723; GO:0006614; GO:0006620; GO:0008320; GO:0031207
ostta05g02680	GO:0000146; GO:0005737; GO:0016460; GO:0032982; GO:0051015
ostta05g03380	
ostta03g05450	GO:0005634; GO:0006355; GO:0016787; GO:0031490; GO:0042393
ostta03g04750	GO:0005524; GO:0016887
ostta03g04870	GO:0016020
ostta05g03600	GO:0006869; GO:0008289; GO:0016020
ostta05g02880	GO:0017148; GO:0043023; GO:0090071
ostta05g03650	
ostta05g02980	GO:0005739; GO:0006744; GO:0016709; GO:0071949
ostta04g04240	GO:0008270
ostta05g03030	GO:0016020
ostta05g03800	
ostta03g05650	GO:0003735; GO:0005762
ostta05g03150	
ostta05g03950	
ostta03g04930	GO:0016279; GO:0032259
ostta05g04010	GO:0016020
ostta05g03250	
ostta03g05090	GO:0005737; GO:0006623; GO:0006869; GO:0045053; GO:0098588
ostta03g05715	GO:0005739; GO:0016971; GO:0050660
ostta03g05145	GO:0004817; GO:0005524; GO:0005737; GO:0006423; GO:0046872
ostta05g04140	GO:0005452; GO:0005886; GO:0006820; GO:0050801
ostta05g03490	
ostta03g05950	GO:0005683; GO:0006398; GO:0071209
ostta03g05300	GO:0000139; GO:0006888; GO:0006890; GO:0015031; GO:0030126; GO:0051645
ostta05g04250	
ostta04g00060	GO:0000045; GO:0000423; GO:0004197; GO:0005737; GO:0015031; GO:0016485; GO:0019786; GO:0034727; GO:0035973
ostta05g04300	GO:0016020
ostta05g03720	GO:0000993; GO:0005694; GO:0006283; GO:0009411
ostta05g04365	
ostta03g05410	GO:0003735; GO:0006412; GO:0022625; GO:0070180
ostta05g03880	
ostta05g04430	
ostta04g00350	GO:0005524; GO:0016887
ostta05g04490	
ostta05g04020	GO:0005840
ostta05g04540	GO:0016020
ostta03g05560	GO:0006623; GO:0045053
ostta04g00400	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005739; GO:0006428; GO:0009791; GO:0032543; GO:0048608
ostta02g03740	GO:0010181
ostta05g04150	GO:0016020
ostta05g04690	
ostta04g00560	GO:0000280; GO:0000793; GO:0000796; GO:0005524; GO:0016887; GO:0030261; GO:0031981; GO:0051301; GO:0098813
ostta03g05720	GO:0005085; GO:0005737
ostta05g04260	GO:0000049; GO:0002939; GO:0005634; GO:0052905
ostta04g01140	GO:0005524; GO:0009134; GO:0016020; GO:0017110
ostta03g05780	GO:0005254; GO:0016020
ostta04g01270	GO:0003729; GO:0003735; GO:0005634; GO:0006412; GO:0022627
ostta03g05960	GO:0005789; GO:0006950
ostta04g01320	GO:0000159; GO:0005634; GO:0005829; GO:0019888
ostta04g01500	GO:0008652; GO:0009507; GO:0016829
ostta04g00620	GO:0006620; GO:0016020; GO:0060090; GO:0072380
ostta05g04990	GO:0003723
ostta01g00230	
ostta04g01860	GO:0002181; GO:0003723; GO:0003735; GO:0022625
ostta04g02040	GO:0016020
ostta04g00910	GO:0003723; GO:0005049; GO:0005634; GO:0005737; GO:0006405; GO:0006611; GO:0042565
ostta04g01030	GO:0004333; GO:0006099; GO:0046872; GO:0051539
ostta05g04550	
ostta06g00080	
ostta01g00440	GO:0001508; GO:0005249; GO:0008076
ostta04g02160	GO:0000149; GO:0005484; GO:0005789; GO:0005794; GO:0006886; GO:0006906; GO:0012507; GO:0031201; GO:0031902
ostta06g00130	GO:0016020
ostta02g03770	GO:0005524
ostta04g02380	GO:0000785; GO:0005634; GO:0006335; GO:0010091; GO:0031567; GO:0042393
ostta04g01280	GO:0005794
ostta01g00540	GO:0016020
ostta04g01330	GO:0000774; GO:0006457; GO:0042803; GO:0051082; GO:0051087
ostta06g00270	GO:0016020
ostta01g00600	
ostta04g01390	GO:0016020; GO:0022857
ostta06g00330	GO:0005524; GO:0006298; GO:0030983; GO:0032301; GO:0140664
ostta01g00660	
ostta04g01450	GO:0005681; GO:0005737; GO:0045292
ostta04g02630	GO:0003924; GO:0005525
ostta06g00400	GO:0005634; GO:0043124
ostta04g01570	GO:0000139; GO:0005198; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0030126
ostta04g01745	GO:0005576; GO:0016985
ostta06g00500	
ostta04g02980	GO:0004175; GO:0006508; GO:0016020; GO:0080120
ostta05g05010	GO:0003676; GO:0005524; GO:0005634; GO:0006289; GO:0036297; GO:0043138
ostta06g00550	GO:0016020
ostta04g02520	GO:0005771; GO:0006900; GO:0032511
ostta06g00050	GO:0009190; GO:0035556
ostta06g00620	GO:0005783; GO:0036503; GO:0051087; GO:0051787
ostta04g02570	GO:0000398; GO:0005681; GO:0008270; GO:0046540
ostta02g05090	GO:0006400
ostta04g02650	GO:0000049; GO:0004825; GO:0005524; GO:0005737; GO:0006431
ostta01g01110	
ostta06g00135	
ostta04g03960	GO:0004586; GO:0005737; GO:0033387
ostta06g00210	GO:0016020; GO:0022857
ostta06g00790	GO:0004674; GO:0005524
ostta04g02790	GO:0000045; GO:0000422; GO:0005789; GO:0006869; GO:0032266; GO:0034045; GO:0034727; GO:0043495; GO:0061709; GO:0061723; GO:0061908
ostta06g00290	
ostta04g04050	GO:0003677; GO:0005730; GO:0006355
ostta01g01300	GO:0016020
ostta06g00960	
ostta06g00410	
ostta01g01370	GO:0005737
ostta04g03010	GO:0005452; GO:0005886; GO:0006820; GO:0050801
ostta04g03130	
ostta06g00510	
ostta06g01060	GO:0016020
ostta04g04360	GO:0005730; GO:0006364; GO:0032040
ostta06g00560	GO:0005681; GO:0006397; GO:0008380
ostta04g03260	GO:0005524; GO:0019788
ostta06g00630	GO:0003677
ostta04g03520	GO:0004017; GO:0005524
ostta06g01190	GO:0016020
ostta04g04580	GO:0005680; GO:0010997; GO:0031145; GO:0051301; GO:1905786; GO:1990757
ostta01g01620	
ostta04g03710	GO:0004672; GO:0005524
ostta04g03900	GO:0003955; GO:0009507; GO:0019646; GO:0042372
ostta04g04940	GO:0005739; GO:0006784; GO:0008495; GO:0016020
ostta04g04110	GO:0006886; GO:0016192; GO:0030121
ostta06g00830	
ostta01g01760	
ostta04g04170	GO:0003735; GO:0005840; GO:0006412; GO:1990904
ostta04g04260	GO:0005085; GO:0005802; GO:0005829; GO:0015031; GO:0016020; GO:0032012
ostta04g05190	GO:0004175; GO:0006508; GO:0008236
ostta04g04470	GO:0008176; GO:0043527
ostta06g01470	
ostta01g01920	GO:0016020
ostta04g05410	GO:0003924; GO:0005525; GO:0005737
ostta04g04730	GO:0005524; GO:0016740
ostta01g01970	GO:0016020
ostta06g01630	GO:0004222; GO:0006508; GO:0016020
ostta04g04900	GO:0005737; GO:0019988; GO:0043399
ostta06g01140	
ostta06g01680	GO:0016020
ostta01g02160	GO:0003341; GO:0005858; GO:0031514; GO:0045503; GO:0045504; GO:0120293
ostta04g05000	GO:0006397; GO:0008380; GO:0071011
ostta06g01740	GO:0016020
ostta06g01300	GO:0016020
ostta01g02240	GO:0000502; GO:0005829; GO:0043248
ostta05g00400	GO:0004126; GO:0005829; GO:0008270; GO:0042802; GO:0055086; GO:0072527; GO:1901135
ostta06g01360	GO:0007165
ostta06g01880	GO:0016020; GO:2001070
ostta06g01420	GO:0005634; GO:0005737
ostta05g00640	GO:0000398; GO:0003729; GO:0004386; GO:0071013
ostta05g00550	GO:0004017; GO:0005524
ostta01g02430	GO:0005524; GO:0006302; GO:0006310; GO:0016887
ostta06g01540	
ostta05g01140	GO:0016020; GO:0032977; GO:0051205
ostta05g01190	
ostta05g00850	GO:0015297; GO:0016020; GO:0042910
ostta05g01450	GO:0005732; GO:0006364; GO:0032040; GO:0034457
ostta01g02617	
ostta06g01690	
ostta06g02190	GO:0005634; GO:0005737
ostta05g01495	
ostta06g01750	GO:0004722; GO:0046872
ostta06g02240	GO:0003677; GO:0003917; GO:0005634; GO:0005694; GO:0006265; GO:0008270
ostta05g01620	GO:0015293; GO:0016020
ostta05g01800	GO:0016020; GO:0033013
ostta05g00920	
ostta06g01900	
ostta01g02920	GO:0000785; GO:0005634; GO:0006338; GO:0006355
ostta05g01290	GO:0005789
ostta05g02210	GO:0016787
ostta06g02010	GO:0003723
ostta05g01410	GO:0001514; GO:0003746; GO:0003924; GO:0005525
ostta06g02070	GO:0008113
ostta05g01460	GO:0000463; GO:0003729; GO:0003735; GO:0006412; GO:0022625
ostta05g02360	GO:0000719; GO:0003677; GO:0003904
ostta05g01630	GO:0016020
ostta01g03230	GO:0005509; GO:0009654; GO:0015979; GO:0019898
ostta06g02200	
ostta05g02500	GO:0003723
ostta05g01930	GO:0004252; GO:0006508
ostta06g02450	GO:0016491
ostta06g02500	
ostta05g02610	GO:0000105; GO:0004401; GO:0046872
ostta05g02050	
ostta06g02560	GO:0016020
ostta05g02170	GO:0000124; GO:0005634; GO:0016740
ostta05g02220	GO:0000776; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0007094; GO:0033316; GO:0034501; GO:0098813
ostta05g02975	GO:0002939; GO:0005634; GO:0005759; GO:0052906; GO:0070901
ostta01g03540	GO:0008320; GO:0009706; GO:0042721; GO:0045036; GO:0045039
ostta02g05130	GO:0016301
ostta06g02790	GO:0016020
ostta06g02840	GO:0016020; GO:0016116; GO:0016491; GO:0016853
ostta01g03590	
ostta05g02300	GO:0003747; GO:0005737
ostta05g02370	GO:0005524; GO:0005634; GO:0005694; GO:0007131; GO:0016887; GO:0051598
ostta05g02418	
ostta05g02520	GO:0000139; GO:0015165
ostta06g03130	
ostta01g03700	
ostta06g03180	GO:0003677; GO:0016020; GO:0035556
ostta05g02620	GO:0005524; GO:0061631
ostta05g03320	
ostta01g03780	GO:0005634
ostta06g02510	GO:0005525
ostta05g02760	GO:0000398; GO:0003729; GO:0005685; GO:0030619; GO:0071004; GO:0071011
ostta06g02580	
ostta06g03360	
ostta06g02620	
ostta01g03830	
ostta06g02680	GO:0016020
ostta05g03480	GO:0003729; GO:0005730
ostta05g02820	GO:0004579; GO:0006486; GO:0012505; GO:0016020; GO:0046872
ostta06g03540	
ostta06g02800	GO:0003723; GO:0003724; GO:0005524; GO:0016787
ostta05g03870	GO:0000462; GO:0003723; GO:0003735; GO:0006412; GO:0022627
ostta06g02850	GO:0016671
ostta06g02930	GO:0005737; GO:0016791
ostta05g03200	
ostta06g03000	GO:0004000; GO:0006154; GO:0009117; GO:0046103
ostta05g03340	GO:0005759
ostta06g03070	GO:0051213
ostta05g04070	GO:0004360; GO:0006002; GO:0006047; GO:0006487; GO:0097367
ostta05g03400	GO:0004656; GO:0005506; GO:0005789; GO:0031418
ostta05g04190	GO:0000723; GO:0000724; GO:0006289; GO:0030896; GO:0031573; GO:0033314; GO:0035861; GO:0044778
ostta06g03860	GO:0005737; GO:0042026; GO:0051082
ostta06g03930	GO:0009071; GO:0030170; GO:0046360
ostta01g04030	GO:0002181; GO:0003723; GO:0003735; GO:0009536; GO:0015934; GO:0016740
ostta06g03260	GO:0006629
ostta01g04090	
ostta05g03610	GO:0000139; GO:0000149; GO:0005484; GO:0005789; GO:0006906; GO:0012507; GO:0015031; GO:0031201; GO:0031902
ostta05g03670	GO:0005634
ostta01g04140	GO:0016020
ostta05g03830	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta06g04090	
ostta05g03960	GO:0000221; GO:0046961
ostta05g04590	GO:0004345; GO:0006006; GO:0009051; GO:0050661
ostta05g04100	GO:0005085; GO:0007264
ostta05g04200	GO:0000724; GO:0003677; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0009378; GO:0016787; GO:0043138
ostta06g03490	
ostta05g04770	GO:0000139; GO:0005789; GO:0046964
ostta01g04330	GO:0005759; GO:0046872; GO:0051536
ostta05g04310	GO:0016197; GO:0031083
ostta06g04250	
ostta01g04400	
ostta05g04870	GO:0003723; GO:0005737; GO:0008270; GO:0016787; GO:0031047; GO:0032574
ostta01g00060	GO:0005634; GO:0005737; GO:0016462
ostta06g03700	
ostta05g04370	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta05g04910	GO:0003723; GO:0003735; GO:0006412; GO:0022625
ostta01g00130	GO:0005737
ostta01g04650	GO:0005576; GO:0005737; GO:0005975; GO:0030248
ostta05g04440	GO:0016567
ostta05g04500	GO:0005886; GO:0015031
ostta01g04720	GO:0000139; GO:0006486; GO:0016757
ostta06g03870	
ostta01g04780	
ostta06g04540	GO:0005737; GO:0016020; GO:0034975
ostta06g03940	GO:0005634; GO:0046983
ostta01g00320	GO:0003995; GO:0005777; GO:0031966; GO:0033539; GO:0050660
ostta06g04630	
ostta06g00030	GO:0000139; GO:0015031
ostta01g00370	GO:0005743; GO:0006850
ostta05g04600	GO:0003960; GO:0005829; GO:0035925; GO:0070402
ostta06g04100	
ostta05g04650	GO:0005261; GO:0008381; GO:0016020; GO:0042391; GO:0050982; GO:0071260
ostta06g00190	GO:0005634; GO:0005737; GO:0006511; GO:0019773
ostta01g05050	
ostta05g04700	GO:0005524; GO:0005737; GO:0016887; GO:0034605; GO:0042026
ostta06g04210	
ostta05g04780	GO:0016020; GO:0022857
ostta07g00240	GO:0000725
ostta06g04260	GO:0000027; GO:0030687
ostta05g04880	GO:0015297; GO:0016020; GO:0042910
ostta07g00290	
ostta06g04330	
ostta01g05270	
ostta01g00760	GO:0004175; GO:0006508; GO:0008236
ostta01g00820	GO:0000463; GO:0000466; GO:0005730
ostta05g04930	GO:0004842; GO:0005524
ostta01g00890	GO:0005391; GO:0005524; GO:0005886; GO:0006883; GO:0016887; GO:0030007; GO:0036376; GO:1902600; GO:1990573
ostta01g00980	GO:0004427; GO:0009678; GO:0012505; GO:0016020
ostta01g05400	GO:0004784; GO:0016151
ostta01g05490	GO:0004674; GO:0005524
ostta01g01050	GO:0005634; GO:0006281; GO:0006310; GO:0030915
ostta07g00530	GO:0006338; GO:0007338; GO:0090537
ostta01g05580	GO:0004672; GO:0005524
ostta06g04550	
ostta07g00580	
ostta06g00090	GO:0003676; GO:0005666; GO:0006384
ostta06g00680	GO:0000045; GO:0000421; GO:0000422; GO:0019776; GO:0034045; GO:0034274; GO:0034727; GO:0061723; GO:0097352
ostta07g00660	
ostta01g01170	GO:0005634; GO:0016973
ostta01g01230	GO:0004664; GO:0009094; GO:0009507; GO:0047769
ostta01g05770	GO:0006508; GO:0008234; GO:0016020
ostta07g00190	
ostta06g00350	GO:0005634; GO:0005737; GO:0006511; GO:0016787; GO:0019773
ostta07g00830	
ostta06g01010	GO:0005768; GO:0007032; GO:0030041; GO:0051125; GO:0071203; GO:0140285
ostta01g01440	GO:0005794; GO:0006486; GO:0052325; GO:0052636
ostta01g01490	GO:0004843; GO:0016579
ostta04g05420	GO:0008270
ostta01g06020	
ostta01g06070	
ostta07g01010	
ostta07g00390	GO:0003723; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0016787; GO:0043139
ostta06g01130	GO:0003676; GO:0003724; GO:0005524; GO:0005829; GO:0016787
ostta07g01080	GO:0009881
ostta07g00450	GO:0016020
ostta01g06200	
ostta07g00540	GO:0016020
ostta07g01140	GO:0005681; GO:0006397; GO:0008380
ostta01g06250	
ostta01g01560	GO:0006006; GO:0047100; GO:0050661; GO:0051287
ostta07g01180	
ostta06g00690	GO:0004364; GO:0005737
ostta06g01290	GO:0005261; GO:0008381; GO:0016020; GO:0042391; GO:0050982; GO:0071260
ostta06g00740	GO:0034045
ostta07g00670	
ostta07g01250	
ostta01g06410	
ostta01g01670	GO:0000398; GO:0000932; GO:0003723; GO:0005688; GO:0046540; GO:0071011; GO:0071013; GO:1990726
ostta07g01300	
ostta01g06465	GO:0000398; GO:0005681
ostta01g06590	
ostta07g00860	
ostta07g01390	
ostta01g06650	
ostta03g01840	GO:0016151
ostta06g01350	GO:0046872; GO:0051537
ostta03g01870	
ostta06g01400	GO:0005743; GO:0032977; GO:0032979
ostta07g01540	GO:0004477; GO:0004488; GO:0005829; GO:0035999
ostta06g00920	GO:0005634; GO:0061630
ostta07g01090	GO:0000118; GO:0005737; GO:0040029; GO:0141221
ostta03g02000	GO:0005524; GO:0008033; GO:0032267
ostta07g01590	GO:0004730; GO:0005737; GO:0016798; GO:0046872
ostta01g01830	GO:0005198; GO:0006886; GO:0006898; GO:0009506; GO:0009507; GO:0030130; GO:0030132; GO:0032051; GO:0071439
ostta06g00970	GO:0008180
ostta07g01640	GO:0000148; GO:0003843; GO:0005886; GO:0006075; GO:0008360
ostta03g02190	
ostta06g01020	GO:0005524; GO:0005737; GO:0016887; GO:0051082; GO:0140662
ostta06g01530	GO:0003735; GO:0006412; GO:0022627
ostta01g02050	GO:0005783; GO:0016020; GO:0030134
ostta06g01200	GO:0004175; GO:0006508; GO:0080120
ostta03g02310	GO:0003676
ostta06g01810	GO:0005525; GO:0005737; GO:0016787; GO:0043022; GO:0046872
ostta01g02370	GO:0006886
ostta06g01480	GO:0005634; GO:0005737; GO:0042256
ostta07g01860	GO:0016020
ostta06g02060	GO:0001518; GO:0005245; GO:0005248; GO:0005509; GO:0005891
ostta03g02480	GO:0005634; GO:0005737; GO:0033235; GO:1902073
ostta07g01910	GO:0004674; GO:0004722; GO:0005524; GO:0016020; GO:0046872
ostta07g01480	GO:0005815; GO:0010564
ostta03g02550	GO:0016787
ostta07g01960	GO:0016020
ostta01g02490	GO:0000139; GO:0005198; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0030126
ostta03g02630	GO:0003677; GO:0003906; GO:0005634; GO:0006284; GO:0008081; GO:0008311; GO:0046872
ostta07g01600	
ostta07g02040	
ostta03g02720	GO:0016020
ostta06g01640	GO:0003735; GO:0006412; GO:0022625
ostta07g01650	GO:0006508; GO:0008234; GO:0016020
ostta07g02130	GO:0006355; GO:0042644
ostta06g02110	GO:0005829; GO:0006749; GO:0017168
ostta07g02220	GO:0009570
ostta07g01750	GO:0004656; GO:0005506; GO:0005789; GO:0031418
ostta01g02680	GO:0000381; GO:0003723; GO:0005686; GO:0045292; GO:0071004; GO:0071013
ostta01g02740	GO:0005506; GO:0005759; GO:0016226; GO:0051537
ostta07g02270	
ostta06g01820	GO:0016020; GO:0022857
ostta03g02930	
ostta01g02847	GO:0004364; GO:0006749
ostta06g01955	GO:0031929; GO:0031931; GO:0031932; GO:0032956
ostta01g02980	GO:0030488; GO:0046982; GO:0070476
ostta01g03030	GO:0004458; GO:0005739; GO:0008720; GO:0051536; GO:0071949; GO:1903457
ostta06g02390	GO:0005847; GO:0006397
ostta01g03130	GO:0003697; GO:0005634; GO:0006301; GO:0006513; GO:0008270; GO:0061630; GO:0097505
ostta01g00340	
ostta07g02440	
ostta06g02120	GO:0003755; GO:0005681; GO:0005739; GO:0006397; GO:0006457; GO:0008380; GO:0016018
ostta03g03110	
ostta06g02250	GO:0003400; GO:0005085; GO:0005789; GO:0006888; GO:0015031
ostta07g02490	
ostta01g03320	GO:0000139; GO:0010008; GO:0072657
ostta01g00460	GO:0031410; GO:0032483
ostta03g02020	GO:0016301
ostta01g00510	
ostta01g03380	GO:0003677; GO:0005666; GO:0042797
ostta06g02615	GO:0000045; GO:0000422; GO:0005829; GO:0032446; GO:0061651
ostta07g02620	GO:0016020; GO:0017183; GO:0022857; GO:0090560
ostta07g02230	
ostta01g00620	GO:0005524; GO:0006799; GO:0008976; GO:0009358
ostta01g03490	GO:0000977; GO:0001139; GO:0003746; GO:0005634; GO:0006362; GO:0006368; GO:0031440; GO:0031564
ostta06g02660	GO:0000502; GO:0005634; GO:0005737; GO:0043248
ostta06g02920	GO:0004831; GO:0005524; GO:0005829; GO:0006437
ostta06g02400	GO:0000398; GO:0005686; GO:0071011
ostta06g02980	GO:0003723; GO:0005634
ostta07g02740	
ostta07g02350	GO:0003723; GO:0003724; GO:0005524
ostta01g03640	GO:0000302; GO:0004601; GO:0020037; GO:0034599; GO:0042744; GO:0046872
ostta07g02790	
ostta06g02460	GO:0004830; GO:0005524; GO:0005739; GO:0006436; GO:0009507; GO:0009791; GO:0048608
ostta01g00840	
ostta06g03250	GO:0005737; GO:0042026; GO:0044183; GO:0051082
ostta06g03320	GO:0000146; GO:0005524; GO:0005737; GO:0007015; GO:0016020; GO:0016459; GO:0030048; GO:0051015
ostta01g00920	GO:0003899; GO:0005665; GO:0006366; GO:0046983
ostta03g03600	GO:0016491; GO:0141052
ostta07g02890	GO:0015035
ostta06g03480	GO:0003697; GO:0005524; GO:0006260; GO:0043139
ostta06g02740	GO:0003690; GO:0006281; GO:0046403; GO:0046404
ostta06g03620	GO:0003723; GO:0003746; GO:0005524; GO:0005737; GO:0016887
ostta07g02940	
ostta07g02500	GO:0009706; GO:0099402
ostta06g03670	GO:0005634; GO:0008168; GO:0032259
ostta06g03750	GO:0004473; GO:0006108; GO:0009507; GO:0046872; GO:0051287
ostta06g03810	GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0015031; GO:0019776; GO:0044804; GO:0061723
ostta03g03800	GO:0009507
ostta01g03890	GO:0000786; GO:0003677; GO:0030527; GO:0046982
ostta07g03080	GO:0003777; GO:0005524; GO:0005737; GO:0005875; GO:0007018; GO:0007052; GO:0008017; GO:0016787; GO:0051231
ostta06g03140	GO:0004672; GO:0005524; GO:0006886; GO:0031267
ostta06g03990	GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0032389; GO:0140664
ostta01g01260	
ostta06g03325	GO:0003677; GO:0003917; GO:0005634; GO:0006265; GO:0006281; GO:0006310
ostta06g03380	GO:0000956; GO:0003723; GO:0004534; GO:0005634; GO:0005737
ostta03g03910	GO:0003824
ostta01g01330	
ostta01g04190	GO:0005737; GO:0030488
ostta07g03220	
ostta01g01400	
ostta07g02800	
ostta03g04080	
ostta06g03450	GO:0004222; GO:0005759; GO:0016485; GO:0046872
ostta07g02855	GO:0008270
ostta03g04190	GO:0003755
ostta06g04150	
ostta01g04280	GO:0006071; GO:0008270; GO:0008889; GO:0046475
ostta06g04200	GO:0000162; GO:0004425; GO:0004640
ostta03g04260	GO:0003723
ostta06g03550	GO:0005737; GO:0007021; GO:0007023
ostta06g04320	
ostta01g01640	GO:0004843; GO:0016579
ostta03g04310	
ostta01g04480	GO:0010436; GO:0016121; GO:0046872
ostta07g03040	GO:0008270
ostta03g04345	
ostta06g04360	GO:0016020
ostta07g03565	GO:0016020
ostta07g03090	
ostta03g04390	
ostta01g04600	GO:0005524; GO:0005743; GO:0015421; GO:0016887; GO:0090374
ostta03g03010	GO:0008650
ostta01g01860	GO:0006396; GO:0008173; GO:0008757; GO:0009451; GO:0032259
ostta03g04520	GO:0051213
ostta07g03180	
ostta06g03760	GO:0005789
ostta05g00900	GO:0005886
ostta06g03820	GO:0004642; GO:0005524; GO:0005737; GO:0006189; GO:0046872
ostta01g02000	GO:0005737; GO:0008677; GO:0050661
ostta07g03710	
ostta07g03310	GO:0016020
ostta01g02070	
ostta03g04710	GO:0016020
ostta06g04480	GO:0005524; GO:0006400; GO:0009691; GO:0052381
ostta03g04760	GO:0005739
ostta01g02180	GO:0004672; GO:0005524; GO:0005737; GO:0016020
ostta01g04860	GO:0046872; GO:0051537
ostta01g02260	
ostta07g03930	GO:0016020
ostta06g04000	GO:0004521; GO:0005737; GO:0016787; GO:0030490; GO:0030688; GO:0031981; GO:0046872
ostta01g02310	
ostta03g04880	
ostta01g04950	GO:0000502; GO:0005524; GO:0005737; GO:0016887
ostta07g00120	GO:0005524; GO:0016020; GO:0016887; GO:0071944; GO:0140359
ostta01g05005	GO:0005634; GO:0005737; GO:0006511; GO:0019773
ostta06g04160	GO:0005743; GO:0015093; GO:0048250
ostta07g04070	GO:0016020
