ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006520	amino acid metabolic process	40/341	136/2435	1.18499769384113e-06	3.29644813013987e-05	3.16377374719306e-05	ostta01g01230/ostta01g01590/ostta01g04340/ostta01g05260/ostta02g01690/ostta02g01970/ostta02g03640/ostta03g01320/ostta03g03750/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g04740/ostta05g01350/ostta05g01820/ostta06g00460/ostta06g02530/ostta06g03270/ostta06g04200/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g02810/ostta08g02010/ostta08g03610/ostta09g00970/ostta09g01860/ostta09g03600/ostta10g02540/ostta11g00080/ostta11g00540/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01750/ostta14g01840/ostta14g02470/ostta14g02970/ostta16g02030/ostta16g02560	40
GO:0019752	carboxylic acid metabolic process	50/341	201/2435	1.21845769875102e-05	0.00030946375789358	0.00029700856020746	ostta01g01230/ostta01g01500/ostta01g01590/ostta01g04340/ostta01g05260/ostta02g01690/ostta02g01970/ostta02g02240/ostta02g02860/ostta02g03460/ostta02g03640/ostta03g00660/ostta03g01320/ostta03g03750/ostta03g04010/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g04740/ostta05g01350/ostta05g01820/ostta06g00460/ostta06g02530/ostta06g03270/ostta06g04200/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g02810/ostta08g00930/ostta08g02010/ostta08g03610/ostta09g00970/ostta09g01860/ostta09g03600/ostta10g00580/ostta10g02540/ostta11g00080/ostta11g00540/ostta11g02560/ostta11g03280/ostta13g01040/ostta13g01580/ostta14g01750/ostta14g01840/ostta14g02470/ostta14g02970/ostta16g00480/ostta16g02030/ostta16g02560	50
GO:0006082	organic acid metabolic process	50/341	202/2435	1.41584725833664e-05	0.00030946375789358	0.00029700856020746	ostta01g01230/ostta01g01500/ostta01g01590/ostta01g04340/ostta01g05260/ostta02g01690/ostta02g01970/ostta02g02240/ostta02g02860/ostta02g03460/ostta02g03640/ostta03g00660/ostta03g01320/ostta03g03750/ostta03g04010/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g04740/ostta05g01350/ostta05g01820/ostta06g00460/ostta06g02530/ostta06g03270/ostta06g04200/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g02810/ostta08g00930/ostta08g02010/ostta08g03610/ostta09g00970/ostta09g01860/ostta09g03600/ostta10g00580/ostta10g02540/ostta11g00080/ostta11g00540/ostta11g02560/ostta11g03280/ostta13g01040/ostta13g01580/ostta14g01750/ostta14g01840/ostta14g02470/ostta14g02970/ostta16g00480/ostta16g02030/ostta16g02560	50
GO:0043436	oxoacid metabolic process	50/341	202/2435	1.41584725833664e-05	0.00030946375789358	0.00029700856020746	ostta01g01230/ostta01g01500/ostta01g01590/ostta01g04340/ostta01g05260/ostta02g01690/ostta02g01970/ostta02g02240/ostta02g02860/ostta02g03460/ostta02g03640/ostta03g00660/ostta03g01320/ostta03g03750/ostta03g04010/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g04740/ostta05g01350/ostta05g01820/ostta06g00460/ostta06g02530/ostta06g03270/ostta06g04200/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g02810/ostta08g00930/ostta08g02010/ostta08g03610/ostta09g00970/ostta09g01860/ostta09g03600/ostta10g00580/ostta10g02540/ostta11g00080/ostta11g00540/ostta11g02560/ostta11g03280/ostta13g01040/ostta13g01580/ostta14g01750/ostta14g01840/ostta14g02470/ostta14g02970/ostta16g00480/ostta16g02030/ostta16g02560	50
GO:0006418	tRNA aminoacylation for protein translation	17/341	42/2435	1.87814770661021e-05	0.000383142132148482	0.000367721550978419	ostta01g04340/ostta02g01970/ostta04g01610/ostta04g01660/ostta04g04740/ostta06g00460/ostta06g02530/ostta07g00280/ostta07g01260/ostta07g02780/ostta08g02010/ostta08g03610/ostta09g01860/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01840	17
GO:0043038	amino acid activation	17/341	43/2435	2.71461753100846e-05	0.000488631155581522	0.000468964886161833	ostta01g04340/ostta02g01970/ostta04g01610/ostta04g01660/ostta04g04740/ostta06g00460/ostta06g02530/ostta07g00280/ostta07g01260/ostta07g02780/ostta08g02010/ostta08g03610/ostta09g01860/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01840	17
GO:0043039	tRNA aminoacylation	17/341	43/2435	2.71461753100846e-05	0.000488631155581522	0.000468964886161833	ostta01g04340/ostta02g01970/ostta04g01610/ostta04g01660/ostta04g04740/ostta06g00460/ostta06g02530/ostta07g00280/ostta07g01260/ostta07g02780/ostta08g02010/ostta08g03610/ostta09g01860/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01840	17
GO:0006399	tRNA metabolic process	23/341	76/2435	0.000156904069456574	0.00266736918076176	0.00256001376481779	ostta01g04340/ostta02g00640/ostta02g01230/ostta02g01970/ostta03g01880/ostta03g02000/ostta04g01610/ostta04g01660/ostta04g04740/ostta06g00460/ostta06g02530/ostta07g00280/ostta07g01260/ostta07g02780/ostta08g02010/ostta08g03610/ostta09g01860/ostta10g03370/ostta11g01810/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01840	23
GO:0044281	small molecule metabolic process	68/341	326/2435	0.000167696819054557	0.0027008014016155	0.00259210041641116	ostta01g01230/ostta01g01500/ostta01g01510/ostta01g01590/ostta01g03770/ostta01g04340/ostta01g05260/ostta02g01690/ostta02g01970/ostta02g02240/ostta02g02860/ostta02g02870/ostta02g03460/ostta02g03640/ostta02g05450/ostta03g00660/ostta03g01320/ostta03g03750/ostta03g04010/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g04740/ostta05g00220/ostta05g01350/ostta05g01820/ostta05g01970/ostta05g03930/ostta06g00460/ostta06g00520/ostta06g02530/ostta06g03270/ostta06g04200/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g02810/ostta08g00930/ostta08g01610/ostta08g02010/ostta08g02470/ostta08g03610/ostta09g00970/ostta09g01860/ostta09g01930/ostta09g03600/ostta10g00580/ostta10g02540/ostta10g03390/ostta11g00080/ostta11g00540/ostta11g02560/ostta11g03110/ostta11g03280/ostta12g00240/ostta12g01290/ostta12g01630/ostta13g01040/ostta13g01580/ostta14g01750/ostta14g01840/ostta14g02470/ostta14g02970/ostta15g01700/ostta16g00480/ostta16g01270/ostta16g02030/ostta16g02560	68
GO:0034660	ncRNA metabolic process	25/341	96/2435	0.00105207828592756	0.0160967977746917	0.0154489390407257	ostta01g04340/ostta02g00640/ostta02g01230/ostta02g01330/ostta02g01970/ostta03g01880/ostta03g02000/ostta04g01610/ostta04g01660/ostta04g04740/ostta06g00460/ostta06g02530/ostta07g00280/ostta07g01260/ostta07g02780/ostta07g03190/ostta08g02010/ostta08g03610/ostta09g01860/ostta10g03370/ostta11g01810/ostta11g02560/ostta11g03280/ostta13g01580/ostta14g01840	25
GO:0009072	aromatic amino acid metabolic process	9/341	22/2435	0.00172474977711078	0.0251320681807571	0.0241205607926771	ostta01g01230/ostta02g01690/ostta02g03640/ostta03g03750/ostta05g01820/ostta06g03270/ostta06g04200/ostta07g02810/ostta11g00080	9
